Year,Date,Bed,Bath,Sqft,price,Address
2018,05-Sep-18,7,5,3573,2598000,3399 Price Street
2019,22-Feb-19,2,3,1312,1298000,156 13th Avenue W
2019,23-Apr-19,2,2,1238,2098000,1115 Chestnut Street
2019,19-Mar-19,2,2,1064,779000,1979 W 13 Avenue
2019,22-Jul-19,2,4,4880,4698000,370 Powell Street
2019,06-Mar-19,2,2,1607,2798000,1650 Bayshore Dr TOWNHOUSE 5
2019,14-May-19,2,3,1600,2830000,410 Beach Crescent
2019,14-May-19,2,3,1334,1598000,2632 Hemlock Street
2019,22-Jul-19,2,2,1125,1148000,28 W 14th Avenue
2019,22-Jul-19,2,2,1374,1275000,2415 W 1st Avenue
2019,01-Apr-19,2,3,1633,2250000,1035 Marinaside Crescent
2019,22-Feb-19,3,3,1475,1399000,991 38th Avenue W
2019,22-Feb-19,3,2,2144,2998000,2506 15th Avenue W
2019,17-Apr-19,3,1,1205,1058800,1208 Nootka Street
2019,23-Apr-19,3,4,1635,1288000,1122 Nanaimo Street
2019,09-Aug-19,3,4,3565,5500000,3030 W 45th Avenue
2019,24-Dec-19,3,1,680,998000,3455 William Street
2019,24-Dec-19,3,2,2700,7500000,4608 Langara Aveue
2019,22-Jul-19,3,3,2400,2299000,1602 E 36 Avenue
2019,14-May-19,3,3,1525,2098000,3485 W 2nd Avenue
2019,17-Jul-19,3,3,1568,1099000,1668 Grant Street
2019,22-Feb-19,4,4,1791,1389000,2636 St. Catherines Street
2019,22-Feb-19,4,4,2285,1638000,619 57th Avenue E
2019,22-Feb-19,4,4,3643,5499000,5037 Maple Street
2019,22-Feb-19,4,2,1953,1258000,2676 4th Avenue E
2019,17-Apr-19,4,4,2117,2099900,928 Westbury Walk
2019,28-Feb-19,4,4,2400,2298000,858 E 32nd Avenue
2019,10-Jun-19,4,4,4210,5750000,5362 CYPRESS STREET
2019,21-Oct-19,4,5,3750,3978000,3339 Collingwood Street
2019,24-Dec-19,4,4,2403,1750000,2060 E 51 Avenue
2019,14-May-19,4,3,2609,1849900,1233 Victoria Drive
2019,22-Feb-19,5,6,4603,4680800,1922 44th Avenue W
2019,22-Feb-19,5,7,4309,4888000,4310 Maple Street
2019,22-Feb-19,5,6,5766,11775000,1098 Wolfe Avenue
2019,22-Feb-19,5,5,2152,1629000,5317 Mckinnon Street
2019,17-Apr-19,5,4,2334,2688000,597 20th Avenue W
2019,17-Apr-19,5,5,2850,2860000,3970 21st Avenue W
2019,17-Apr-19,5,2,2776,3890000,3811 14th Avenue W
2019,17-Apr-19,5,5,3659,3680000,1433 54th Avenue W
2019,24-Mar-19,5,4,3163,3980000,4691 W 9th Avenue
