Year,Bed,Bath,Sqft,price
2021,6,4,3142,1599000
2021,6,5,3456,2899000
2021,6,2,2900,3299000
2021,6,7,3287,2649000
2021,6,7,4018,4670000
2021,6,7,6488,9800000
2021,6,5,3842,2688000
2021,6,3,3406,2990000
2021,6,3,3094,3498000
2021,7,5,3099,2599900
2021,7,6,5013,4188000
2021,7,7,10603,10680000
2021,7,8,5591,4998000
2021,7,7,5229,4990000
2021,7,9,6842,7590000
2021,7,4,2605,1398000
2021,7,4,3864,3750000
2021,7,5,3990,2350000
2021,7,4,2750,2088000
2022,2,1,692,955963
2022,2,2,848,1259148
2022,2,2,994,1449231
2022,2,3,1258,1893026
2022,2,2,813,1213581
2022,2,3,1145,1745907
2022,2,2,1608,2248620
2022,2,2,1570,2199147
2022,2,1,913,1243691
2022,2,4,2828,4037149
2022,3,1,1688,1967780
2022,3,2,4820,6145529
2022,3,4,2200,2934621
2022,3,3,2452,3162626
2022,3,3,3011,3890409
2022,3,4,4111,5422622
2022,3,3,2261,2913956
2022,3,4,2224,2965867
2022,3,5,3014,4094481
2022,3,2,1700,2083486
2022,4,3,2490,2927187
2022,4,2,2437,2758102
2022,4,1,1920,1984917
2022,4,2,2035,2234723
2022,4,5,2087,2602673
2022,4,6,4205,5460258
2022,4,3,2552,3007908
2022,4,4,2637,3218655
2022,4,3,3389,4097629
2022,4,2,3251,3817878
2022,5,4,2000,2104409
2022,5,2,2016,1925074
2022,5,5,3512,4173021
2022,5,2,4599,5287977
2022,5,7,4110,5151745
2022,5,4,4053,4777286
2022,5,2,1989,1889922
2022,5,3,3458,3902550
2022,5,4,2730,3054823
2022,5,6,3500,4257481
2022,6,2,2697,2526781
2022,6,7,3472,4036198
2022,6,4,4884,5574283
2022,6,3,2147,1910799
2022,6,3,2386,2221962
2022,6,9,5511,6891013
2022,6,9,4782,5941901
2022,6,6,6951,8465552
2022,6,3,3015,3040880
2022,6,4,2971,3083678
2022,7,2,1896,1199018
2022,7,3,2015,1454031
2022,7,4,3718,3771313
2022,7,5,4011,4252863
2022,7,6,3951,4274830
2022,7,7,4533,5132640
2022,7,8,3422,3786272
2022,7,9,3977,4608930
2022,7,10,5015,6060423
2022,7,7,4261,4778514
