Year,Date,Bed,Bath,Sqft,price,Address
2015,06-Feb-15,3,2,1225,1199900,#3511 777 Richards Street
2015,06-Feb-15,3,3,2174,2107900,#1701 1372 Seymour Street
2015,06-Feb-15,3,4,3291,3180000,#3205 610 Granville Street
2015,06-Feb-15,3,2,1174,1188000,#3605 833 Seymour Street
2015,06-Feb-15,3,3,1900,1680000,#3701 689 Abbott Street
2015,06-Feb-15,3,4,2107,3190000,#4003 667 Howe Street
2015,06-Feb-15,3,2,916,669900,#2304 1283 Howe Street
2015,06-Feb-15,3,4,4996,8800000,#4701 938 Nelson Street
2015,16-Mar-15,3,3,2018,1250000,#2703 889 Homer Street
2015,16-Mar-15,3,2,2042,1890000,#303 1102 Hornby Street
2015,07-Jun-15,3,2,1250,958000,#806 633 Abbott Street
2015,07-Jun-15,3,2,1156,839000,#2803 1189 Howe Street
2015,07-Jun-15,3,2,1290,799000,#2102 989 Nelson Street
2015,07-Jun-15,3,2,916,724900,#2604 1283 Howe Street
2015,07-Jun-15,3,3,1760,2275000,#2501 499 Pacific Street
2015,07-Aug-15,3,4,2959,4980000,#3202  833 Homer Street
2015,07-Oct-15,3,3,1435,1698000,#2008 1351 Continental Street
2015,07-Oct-15,3,5,3087,6488000,#811 1372 Seymour Street
2015,01-Nov-15,3,2,1271,985000,#3003 1331 Alberni Street
2015,07-Dec-15,3,2,1622,3570900,#5607 1281 Hornby Street
2015,07-Dec-15,3,2,1668,2395000,#5005 777 Richards Street
2015,07-Feb-15,3,3,1530,769000,#10 1201 Lamey's Mill Road
2015,10-Apr-15,3,3,3011,2295000,#906 125 Milross Avenue
2015,27-Apr-15,3,2,1367,899000,#1201 5728 Berton Avenue
2015,09-May-15,3,2,756,948900,#404 138 West 1st Avenue
2015,09-May-15,3,3,1560,1275000,#17A 1500 Alberni Street
2016,30-Aug-16,1,1,716,498000,#2503 3663 Crowley Drive
2016,30-Aug-16,1,1,750,598000,#3408 128 W Cordova Street
2016,30-Aug-16,1,1,677,434900,#2005 3660 Vanness Avenue
2016,30-Aug-16,1,1,580,599000,#2603 610 Granville Street
2016,30-Aug-16,1,1,651,349900,#1007 1850 Comox Street
2016,10-Mar-16,1,1,590,520000,#608 238 W Broadway Way
2016,10-Mar-16,1,1,585,359900,#806 1146 Harwood Street
2016,01-Apr-16,1,1,432,399800,#702 1367 Alberni Street
2016,20-May-16,1,1,631,569000,#306 1205 Howe Street
2016,16-Jul-16,1,1,523,399900,#309 2057 W 3rd Avenue
2016,16-Jul-16,1,1,625,578000,#3002 602 Citadel Parade
2016,16-Jul-16,1,1,515,539900,#2103 928 Beatty Street
2016,23-Aug-16,1,1,559,639000,#1904 1328 W Pender Street
2016,23-Aug-16,1,1,610,648800,#1003 1188 W Pender Street
2016,23-Aug-16,1,1,616,559000,#104 2216 W 3rd Avenue
2016,23-Aug-16,1,1,456,419000,#915 188 Keefer Street
2016,07-Nov-16,1,1,682,419000,#104 6475 Chester Street
2016,07-Nov-16,1,1,652,538000,#2707 128 W Cordova Street
2016,23-Aug-16,1,1,508,385000,#508 1270 Robson Street
2016,26-Nov-16,1,1,703,629000,#604 1189 Melville Street
2016,12-Jan-16,1,1,566,488800,#1107 1788 Ontario Street
2016,24-Feb-16,1,1,510,520000,#1102 1221 Bidwell Street
2016,26-Mar-16,1,1,735,498900,#401 131 E 3rd Street
2016,01-Apr-16,1,1,832,498000,#306 3621 W 26 Avenue
2016,20-Apr-16,1,1,625,385000,#102 985 W 10th Avenue
2016,20-May-16,1,1,644,718800,#605 1690 W 8th Avenue
2016,02-Sep-16,1,1,774,649000,#10 1038 W 7TH AVENUE
2016,05-Oct-16,1,1,656,525000,#701 123 W 1ST AV
2016,05-Oct-16,1,1,775,699000,#703 1625 Manitoba Street
2016,28-Dec-16,1,1,700,623000,#2107  610 Granville Street
2016,30-Aug-16,2,2,878,798900,#PH5 202 E 24th Avenue
2016,30-Aug-16,2,1,794,588000,#301 1420W Georgia Street
2016,30-Aug-16,2,2,1206,1449000,#404 1790 Bayshore Drive
2016,30-Aug-16,2,2,760,499000,#204 1688 E 8th Avenue
2016,20-May-16,2,2,808,599900,#409 2755 Maple Street
2016,20-May-16,2,2,931,698000,#1508 602 Citadel Parade
2016,10-Mar-16,2,2,1184,789000,#2705 867 Hamilton Street
2016,10-Mar-16,2,1,794,449000,#401 1617 Grant Street
2016,31-Mar-16,2,2,914,519900,#203 1042 Nelson Street
2016,31-Mar-16,2,1,885,738000,#306 3333 Main Street
2016,01-Apr-16,2,3,2681,5988000,#4802 1128 W Georgia Street
2016,01-Apr-16,2,2,1002,899000,#3306 1200 W Georgia Street
2016,01-Apr-16,2,1,838,361000,#305 458 E 44th Avenue
2016,20-Apr-16,2,2,1360,1200000,#1206 120 Milross Avenue
2016,20-Apr-16,2,2,1130,1300000,#1202 1438 Richards Street
2016,20-May-16,2,2,1335,688000,#501 1477 Fountain Way
2016,20-May-16,2,2,808,599900,#409 2755 Maple Street
2016,16-Jul-16,2,2,1034,1188000,#808 1633 Ontario Street
2016,23-Aug-16,2,2,1230,1399000,#903 638 Beach Crescent
2016,26-Nov-16,2,2,1061,888000,#207 1833 Crowe Street
2016,12-Jan-16,2,2,1215,1288000,#901 1650 Bayshore Drive
2016,24-Feb-16,2,2,1278,1355000,#706 918 Cooperage Way
2016,26-Mar-16,2,2,960,689900,#602a 1695 Main Street
2016,20-May-16,2,2,1025,869900,#515 250 E 6th Avenue
2016,27-Apr-16,2,2,1229,1399000,#3503 1351 Continental Street
2016,27-Apr-16,2,2,877,689900,#1101 89 W 2nd Avenue
2016,16-Jul-16,2,2,892,698000,#202 6279 Eagles Drive
2016,02-Sep-16,2,2,851,629000,#203 1818 W 6TH AVENUE
2016,04-Oct-16,2,2,1400,1269900,#1606 108 E 1ST AVENUE
2016,07-Nov-16,2,2,1010,688000,#201 1616W 13th Avenue
2016,20-May-16,3,3,2356,3950000,#2002 1199 Marinaside Crescent
2016,27-Apr-16,3,2,1515,2288000,#1103 560 Cardero Street
2016,04-Oct-16,3,2,2162,2988000,#301 499 DRAKE STREET
2016,14-Jan-16,3,2,1288,1259900,#3611 777 Richards Street
2016,14-Jan-16,3,3,1736,2603900,#4202 1283 Howe Street
2016,14-Jan-16,3,5,3445,6750000,#4101 499 Pacific Street
2016,14-Jan-16,3,3,1527,2610900,#5705 1281 Hornby Street
2016,14-Jan-16,3,3,1900,2888000,#3702 689 Abbott Street
2016,14-Jan-16,3,2,1639,3450900,#4907 1281 Hornby Street
2016,14-Jan-16,3,2,2042,1818000,#303 1102 Hornby Street
2016,14-Jan-16,3,4,2184,3848900,#5802 1281 Hornby Street
2016,14-Jan-16,3,3,1736,2603900,#Ph2 1283 Howe Street
2016,14-Jan-16,3,4,2059,2989000,#3001 788 Richards Street
2016,14-Jan-16,3,3,2174,2107900,#1701 1372 Seymour Street
2016,14-Jan-16,3,4,2827,4380000,#3202 833 Homer Street
2016,14-Jan-16,3,2,1668,2395000,#5005 777 Richards Street
2016,16-May-16,3,3,2019,3695000,#2703 889 Homer Street
2016,16-May-16,3,3,3108,5580000,#Ph3602 838 West Hastings Street
2016,16-May-16,3,2,1173,1290000,#3111 777 Richards Street
2016,17-Jun-16,3,3,2019,3200000,#Ph2703 889 Homer Street
2016,22-Sep-16,3,3,1212,898888,#TH2 63 KEEFER PLACE
2016,26-Oct-16,3,2,1160,1988000,#4205 777 RICHARDS STREET
2016,26-Oct-16,3,2,1054,1295000,#2001 1133 HORNBY STREET
2016,07-Nov-16,3,3,2031,2898000,#102 426 BEACH CRESCENT
2016,07-Nov-16,3,2,987,764000,#202 488 HELMCKEN STREET
2016,07-Nov-16,3,3,1449,2588000,#PH3703 193 AQUARIUS MEWS
2016,07-Nov-16,3,3,1900,2998000,#1201 1111 MARINASIDE
2016,31-Dec-16,3,2,1185,1829900,#1507 1111 RICHARDS STREET
2016,31-Dec-16,3,3,1860,3998000,#101 633 KINGHORNE MEWS
2016,31-Dec-16,3,3,2042,3728000,#2602 289 DRAKE STREET
2017,01-Apr-17,1,2,852,638000,#211 2105 42nd Avenue W
2017,01-Apr-17,1,1,667,549000,#307 33 Pender Street W
2017,01-Apr-17,1,1,423,259900,#1109 5189 Gaston Street
2017,01-Apr-17,1,1,535,599800,#1506 1351 Continental Street
2017,01-Apr-17,1,1,700,397300,#140 2390 Mcgill Street
2017,10-Oct-17,1,1,745,998000,#1109 1661 Ontario Street
2017,06-Jun-17,1,1,635,579000,#409 488 Helmcken Street
2017,06-Jun-17,1,1,526,699000,#1205 198 Aquarius Mews
2017,11-May-17,1,1,644,525000,#505 1690 W 8th Avenue
2017,11-May-17,1,1,711,559000,#106 888 W 13th Avenue
2017,11-May-17,1,1,794,849000,#103 965 W 15th Avenue
2017,01-May-17,1,1,617,569900,#109 1928 Nelson Street
2017,01-May-17,1,1,671,579900,#315 1230 Haro Street
2017,01-May-17,1,1,602,529000,#214 1050 Broughton Street
2017,01-May-17,1,1,663,754900,#104 1688 Robson Street
2017,08-Feb-17,1,1,553,618800,#606 1331 W Georgia Street
2017,08-Feb-17,1,1,662,789000,#2309 1331 W Georgia Street
2017,08-Feb-17,1,1,610,585000,#803 1188 Pender Street
2017,10-May-17,1,1,730,1450000,#2604 1011 W Cordova Street
2017,10-May-17,1,1,737,889000,#3106 1189 Melville Street
2017,03-Jan-17,1,1,785,525000,#504 2020 Highbury Street
2017,03-Jan-17,1,1,515,528800,#2003 939 Expo Boulevard
2017,03-Jan-17,1,1,607,598800,#809 1887 Crowe Street
2017,03-Jan-17,1,1,630,499000,#207 150 E Cordova Street
2017,03-Jan-17,1,1,682,389000,#104 6475 Chester Street
2017,03-Jan-17,1,1,800,749000,#606 2411 Heather Street
2017,06-Dec-17,1,1,749,888000,#2203 550 PACIFIC STREET
2017,06-Dec-17,1,1,645,729000,#1404 565 Smithe Street
2017,06-Dec-17,1,1,694,620000,#310 161 W GEORGIA STREET
2017,06-Dec-17,1,1,741,799000,#303 1178 HAMILTON STREET
2017,01-Apr-17,2,2,1292,2399000,#603 1483 Homer Street
2017,01-Apr-17,2,2,790,660000,#808 2220 Kingsway Street
2017,01-Apr-17,2,2,1641,2998000,#302 2028 York Avenue
2017,01-Apr-17,2,2,1288,1799900,#2003 989 Beatty Street
2017,01-Apr-17,2,2,865,899000,#408 2635 Prince Edward Street
2017,01-Apr-17,2,2,1146,1698000,#2702 455 Beach Crescent 
2017,01-Apr-17,2,1,1076,869000,#204 1005 7th Avenue W
2017,01-Apr-17,2,2,1402,1385000,#405 1128 Quebec Street
2017,03-Jan-17,2,2,980,1088000,#2309 833 Seymour Street
2017,03-Jan-17,2,3,1656,2588000,#301 1985 Alberni Street
2017,19-Jan-17,2,2,787,530000,#304 998 W 19th Avenue
2017,02-May-17,2,2,1880,2499000,#702 546 Beatty Street
2017,12-May-17,2,2,1085,1388000,#501 1228 Homer Street
2017,12-May-17,2,2,1136,1190000,#502 1495 Richards Street
2017,05-Oct-17,2,2,1174,1098000,#3703 833 Seymour Street
2017,10-Oct-17,2,2,884,999900,#4601 777 Richards Street
2017,10-Oct-17,2,2,1242,989900,#1902 135 17th Street E
2017,10-Oct-17,2,2,1105,998000,#1102 C 1695 Main Street
2017,01-Apr-17,2,2,930,698000,#405 1729 Georgia Street E
2017,01-Apr-17,2,2,719,749900,#205 379 Broadway E
2017,03-Jan-17,2,3,1656,2588000,#301 1985 Alberni Street
2017,03-Jan-17,2,2,925,819000,#307 1147 Nelson Street
2017,03-Jan-17,2,2,980,1088000,#2309 833 Seymour Street
2017,03-Jan-17,2,2,1061,888000,#207 1833 Crowe Street
2017,03-Jan-17,2,2,902,318000,#210 2528 E Broadway
2017,03-Jan-17,2,2,811,855000,#201 4139 Cambie Street
2017,06-Dec-17,2,1,818,718000,#1501 1740 Comox Street
2017,06-Dec-17,2,2,1153,1599000,#2003 1228 Marinaside
2017,06-Dec-17,2,2,906,699000,#903 602 CITADEL PARADE
2017,06-Dec-17,2,2,1215,1288000,#901 1650 BAYSHORE DRIVE
2017,03-Jan-17,3,2,855,989000,#2308 550 Taylor Street
2017,03-Jan-17,3,2,1268,1880000,#2902 1211 Melville Street
2017,03-Jan-17,3,2,1362,1088000,#302 1255 Main Street
2017,03-Jan-17,3,3,1541,1375000,#320 638 W 7th Avenue
2017,08-Feb-17,3,2,1192,1880000,#2912 777 RICHARDS STREET
2017,08-Feb-17,3,2,1073,848000,#709 618 ABBOTT STREET
2017,08-Feb-17,3,2,1367,2138000,#4207 777 RICHARDS STREET
2017,08-Feb-17,3,5,2100,4988800,#5001 1480 HOWE STREET
2017,08-Feb-17,3,3,1659,3280000,#5001 777 RICHARDS STREET
2017,08-Feb-17,3,3,1668,3980000,#4905 777 RICHARDS STREET
2017,08-Feb-17,3,2,1185,1849900,#1707 1111 RICHARDS STREET
2017,08-Feb-17,3,3,1781,3339900,#3205 1111 RICHARDS STREET
2017,08-Feb-17,3,2,1905,3295000,#1808 1111 RICHARDS STREET
2017,25-Apr-17,3,2,1215,1249000,#1001 889 HOMER STREET
